x	y	z
735511.9558	7459450.588	2.6469
735426.0825	7459456.685	2.6097
735521.5495	7459515.505	2.5275
735433.1	7459524.3	2.5262
735502.362	7459385.67	2.9583
735419.065	7459389.07	2.9366
735597.829	7459444.49	2.7103
735609.999	7459506.71	2.5537
735585.659	7459382.27	3.0022
735505.3813	7459319.785	3.3954
735422.714	7459321.375	3.3804
735678.2448	7459435.37	2.6694
735690.3365	7459494.355	2.5321
735588.0485	7459318.195	3.4082
735666.153	7459376.385	2.9894
735664.3878	7459318.378	3.3779
735508.4005	7459253.9	3.8422
735426.363	7459253.68	3.8345
735590.438	7459254.12	3.843
735662.6225	7459260.37	3.7867
735758.6605	7459426.25	2.6506
735770.674	7459482	2.5442
735746.647	7459370.5	2.9169
735734.807	7459266.62	3.7115
735740.727	7459318.56	3.3056
735524.5613	7459186.17	4.3046
735442.5485	7459188.125	4.2678
735606.574	7459184.215	4.3327
735677.4065	7459198.515	4.2223
735830.6253	7459414.588	2.6768
735843.406	7459466.485	2.5508
735817.8445	7459362.69	2.921
735748.239	7459212.815	4.1423
735810.645	7459254.975	3.7891
735814.2448	7459308.833	3.3163
735540.722	7459118.44	4.7605
735458.734	7459122.57	4.6958
735692.1905	7459136.66	4.6803
735622.71	7459114.31	4.8139
735902.59	7459402.925	2.7306
735916.138	7459450.97	2.6092
735761.671	7459159.01	4.5529
735824.077	7459201.17	4.243
735889.042	7459354.88	2.9194
735887.7625	7459299.105	3.3133
735886.483	7459243.33	3.8227
735488.258	7459062.04	5.1041
735728.6863	7459086.62	5.0367
735665.204	7459054.88	5.2124
735570.246	7459057.91	5.1612
735517.782	7459001.51	5.5115
735612.2733	7459001.485	5.5102
735559.3425	7458948.09	5.8649
735967.3068	7459392.47	2.7173
735982.3505	7459435.34	2.5753
735792.1685	7459118.36	4.847
735851.1483	7459155.795	4.5753
735952.263	7459349.6	2.902
735951.424	7459301.823	3.1975
735910.128	7459193.23	4.239
735950.585	7459254.045	3.603
735967.8065	7459210.003	3.97
735878.2195	7459110.42	4.8681
735822.666	7459077.71	5.1181
735765.182	7459036.58	5.3644
735707.698	7458995.45	5.585
735654.3005	7458945.06	5.8903
735600.903	7458894.67	6.2747
736032.0235	7459382.015	2.719
736048.563	7459419.71	2.592
736015.484	7459344.32	2.8693
736015.0855	7459304.54	3.0474
735933.773	7459143.13	4.594
735985.028	7459165.96	4.3283
736014.687	7459264.76	3.3542
736025.485	7459226.775	3.699
736036.283	7459188.79	4.046
735909.054	7459069.983	5.1071
735857.3265	7459035.915	5.3698
735804.329	7458993.573	5.6409
735751.3315	7458951.23	5.8904
735701.2892	7458900.22	6.2608
735651.247	7458849.21	6.7073
736088.969	7459373.085	2.6272
736108.9815	7459404.805	2.4934
736068.9565	7459341.365	2.7345
736066.9863	7459305.368	2.9575
735960.7815	7459104.05	4.8375
736008.3195	7459129.325	4.6102
736065.016	7459269.37	3.2446
736074.7133	7459236.36	3.5169
736055.8575	7459154.6	4.3423
736084.4105	7459203.35	3.8019
736097.6523	7459171.96	4.088
736031.611	7459092.69	4.8692
735987.79	7459064.97	5.0923
735939.8885	7459029.545	5.3448
735891.987	7458994.12	5.6078
735843.476	7458950.565	5.9232
735794.965	7458907.01	6.243
735748.278	7458855.38	6.7273
735701.591	7458803.75	7.2431
736122.429	7459338.41	2.7108
736145.9145	7459364.155	2.5765
736169.4	7459389.9	2.4425
736118.887	7459306.195	2.888
736115.345	7459273.98	3.1113
736123.9415	7459245.945	3.3006
736075.432	7459120.41	4.6199
736110.894	7459140.57	4.3811
736132.538	7459217.91	3.5273
736139.447	7459189.32	3.795
